"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C7","0.22Uf","~","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","2",""
"C3,C5","1Uf","~","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","2",""
"C4,C6","1nF","~","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","2",""
"C8","1000uF","~","Capacitor_THT:CP_Radial_D12.5mm_P5.00mm","1",""
"D1,D2,D3,D4","1N4148","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","4",""
"J1","Speaker","~","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","1",""
"J2","Input Terminals","~","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","1",""
"J3","Power Input","~","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","1",""
"Q1,Q3,Q6,Q7","2N3904","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","Package_TO_SOT_THT:TO-92_Wide","4",""
"Q2,Q9","QD45H8G","https://www.onsemi.com/pub/Collateral/2N3906-D.PDF","Package_TO_SOT_THT:TO-220-3_Vertical","2",""
"Q4,Q8","2N3906","https://www.onsemi.com/pub/Collateral/2N3906-D.PDF","Package_TO_SOT_THT:TO-92_Wide","2",""
"Q5,Q10","QD44H8G","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","Package_TO_SOT_THT:TO-220-3_Vertical","2",""
"R1,R6,R10,R13","4.7k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","4",""
"R2,R9,R15,R16","10k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","4",""
"R3,R5,R17,R18","0.22","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","4",""
"R4,R14","12k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2",""
"R8,R12","1.3k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2",""
"RV1,RV2","R_Potentiometer","~","Potentiometer_THT:Potentiometer_Bourns_3386P_Vertical","2",""
"TP1,TP2","TestPoint","~","TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm","2",""
