"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C3,C4","10uF","~","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P5.00mm","4",""
"C5","0.22uF","~","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","1",""
"C6,C7","0.1uF","~","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","2",""
"J1","18V","~","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","1",""
"J2","Out to Amp","~","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","1",""
"J3","PWR SW","~","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal","1",""
"J4","Volume POT","~","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal","1",""
"J5","Pairing BTN","~","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","1",""
"J6","PWR LED","~","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","1",""
"J7","Pair LED","~","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","1",""
"J8,J9","Conn_01x12","~","Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Vertical","2",""
"J10","ICE Header","","Z_Custom_Footprints:ICE_Header","1",""
"R1,R8","1k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2",""
"R2","4.7k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R3,R4","10k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2",""
"R6","15k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R7","12k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R9","1.96k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R10,R11","100","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2",""
"TP1","AOHPR","~","TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm","1",""
"U2","LM7805_TO220","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"U3","ATmega328P-P","http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf","Package_DIP:DIP-28_W7.62mm_LongPads","1",""
"U4","LF353N","http://www.ti.com/lit/ds/symlink/tl081.pdf","Package_DIP:DIP-8_W7.62mm_LongPads","1",""
